morada1;morada2;coeficiente Atrito
Centro comercial parque;Centro Comercial New City;0.5
Centro comercial parque;Centro Comercial Plaza;0.5
Centro comercial parque;NorteShopping;0.5
Centro comercial parque;Pereiro Post Office;0.5
Centro comercial parque;Farmacia Sousa Torres;0.5
Centro comercial parque;Farmacia Avenida;0.5
Centro comercial parque;Centro Comercial do Carvalhido;0.5
Centro comercial parque;CTT;0.5
Centro comercial parque;Posto Correios Forno;0.5
Centro comercial parque;Centro de Distribuicao dos Correios de Ermesinde;0.5
Centro comercial parque;ArrabidaShopping;0.5
Centro comercial parque;Correios CTT Campo Alegre;0.5
Centro comercial parque;Shopping Brasilia - Associacao Comerciantes;0.5
Centro comercial parque;Farmacia sa;0.5
Centro comercial parque;Posto de Correios de Conde Ferreira;0.5
Centro comercial parque;Farmacia Marques da Cunha;0.5
Centro comercial parque;Centro Comercial de Cedofeita;0.5
Centro comercial parque;Alameda Shop Spot;0.5
Centro comercial parque;Post Office Valongo;0.5
Centro comercial parque;Shop;0.5
Centro comercial parque;Farmacia Sa da Bandeira;0.5
Centro comercial parque;Traditional Shopping Street;0.5
Centro comercial parque;Espiral Colossal;0.5
Centro comercial parque;Centro Comercial Stop;0.5
Centro comercial parque;Praceta Salvador Caetano;0.5
Centro comercial parque;Farmacia Couto;0.5
Centro comercial parque;FISHISCO Pesca;0.5
Centro comercial parque;Tecofix Porto;0.5
Centro comercial parque;Farmacia de Fanzeres;0.5
Centro comercial parque;Farmacia Central Valongo;0.5
Farmacia Guifoes;MAR Shopping Matosinhos;0.5
Farmacia Guifoes;Centro comercial parque;0.5
Farmacia Guifoes;Centro Comercial New City;0.5
Farmacia Guifoes;Centro Comercial Plaza;0.5
Farmacia Guifoes;Pereiro Post Office;0.5
Farmacia Guifoes;Farmacia Sousa Torres;0.5
Farmacia Guifoes;Farmacia Avenida;0.5
Farmacia Guifoes;Centro Comercial do Carvalhido;0.5
Farmacia Guifoes;CTT;0.5
Farmacia Guifoes;Posto Correios Forno;0.5
Farmacia Guifoes;Centro de Distribuicao dos Correios de Ermesinde;0.5
Farmacia Guifoes;ArrabidaShopping;0.5
Farmacia Guifoes;Correios CTT Campo Alegre;0.5
Farmacia Guifoes;Shopping Brasilia - Associacao Comerciantes;0.5
Farmacia Guifoes;Farmacia sa;0.5
Farmacia Guifoes;Posto de Correios de Conde Ferreira;0.5
Farmacia Guifoes;Farmacia Marques da Cunha;0.5
Farmacia Guifoes;Centro Comercial de Cedofeita;0.5
Farmacia Guifoes;Alameda Shop Spot;0.5
Farmacia Guifoes;Post Office Valongo;0.5
Farmacia Guifoes;Shop;0.5
Farmacia Guifoes;Farmacia Sa da Bandeira;0.5
Farmacia Guifoes;Traditional Shopping Street;0.5
Farmacia Guifoes;Espiral Colossal;0.5
Farmacia Guifoes;Centro Comercial Stop;0.5
Farmacia Guifoes;Praceta Salvador Caetano;0.5
Farmacia Guifoes;Farmacia Couto;0.5
Farmacia Guifoes;FISHISCO Pesca;0.5
Farmacia Guifoes;Tecofix Porto;0.5
Farmacia Guifoes;Farmacia de Fanzeres;0.5
Farmacia Guifoes;Farmacia Central Valongo;0.5
Centro Comercial Plaza;MAR Shopping Matosinhos;0.5
Centro Comercial Plaza;Centro comercial parque;0.5
Centro Comercial Plaza;Farmacia Guifoes;0.5
Centro Comercial Plaza;Farmacia sa;0.5
Centro Comercial Plaza;NorteShopping;0.5
Centro Comercial Plaza;Centro Comercial New City;0.5
Centro Comercial Plaza;Pereiro Post Office;0.5
Centro Comercial Plaza;Farmacia Sousa Torres;0.5
Centro Comercial Plaza;Farmacia Avenida;0.5
Centro Comercial Plaza;Centro Comercial do Carvalhido;0.5
Centro Comercial Plaza;CTT;0.5
Centro Comercial Plaza;Posto Correios Forno;0.5
Centro Comercial Plaza;Centro de Distribuicao dos Correios de Ermesinde;0.5
Centro Comercial Plaza;ArrabidaShopping;0.5
Centro Comercial Plaza;Shopping Brasilia - Associacao Comerciantes;0.5
Centro Comercial Plaza;Correios CTT Campo Alegre;0.5
Centro Comercial Plaza;Posto de Correios de Conde Ferreira;0.5
Centro Comercial Plaza;Farmacia Marques da Cunha;0.5
Centro Comercial Plaza;Centro Comercial de Cedofeita;0.5
Centro Comercial Plaza;Alameda Shop Spot;0.5
Centro Comercial Plaza;Post Office Valongo;0.5
Centro Comercial Plaza;Shop;0.5
Centro Comercial Plaza;Farmacia Sa da Bandeira;0.5
Centro Comercial Plaza;Traditional Shopping Street;0.5
Centro Comercial Plaza;Espiral Colossal;0.5
Centro Comercial Plaza;Centro Comercial Stop;0.5
Centro Comercial Plaza;Praceta Salvador Caetano;0.5
Centro Comercial Plaza;Farmacia Couto;0.5
Centro Comercial Plaza;FISHISCO Pesca;0.5
Centro Comercial Plaza;Tecofix Porto;0.5
Centro Comercial Plaza;Farmacia de Fanzeres;0.5
Centro Comercial Plaza;Farmacia Central Valongo;0.5
NorteShopping;MAR Shopping Matosinhos;0.5
NorteShopping;Centro comercial parque;0.5
NorteShopping;Centro Comercial Plaza;0.5
NorteShopping;Centro Comercial New City;0.5
NorteShopping;Farmacia Sousa Torres;0.5
NorteShopping;Farmacia Avenida;0.5
NorteShopping;Centro Comercial do Carvalhido;0.5
NorteShopping;CTT;0.5
NorteShopping;Posto Correios Forno;0.5
NorteShopping;Centro de Distribuicao dos Correios de Ermesinde;0.5
NorteShopping;ArrabidaShopping;0.5
NorteShopping;Correios CTT Campo Alegre;0.5
NorteShopping;Shopping Brasilia - Associacao Comerciantes;0.5
NorteShopping;Farmacia sa;0.5
NorteShopping;Posto de Correios de Conde Ferreira;0.5
NorteShopping;Farmacia Marques da Cunha;0.5
NorteShopping;Centro Comercial de Cedofeita;0.5
NorteShopping;Alameda Shop Spot;0.5
NorteShopping;Post Office Valongo;0.5
NorteShopping;Shop;0.5
NorteShopping;Farmacia Sa da Bandeira;0.5
NorteShopping;Traditional Shopping Street;0.5
NorteShopping;Espiral Colossal;0.5
NorteShopping;Centro Comercial Stop;0.5
NorteShopping;Praceta Salvador Caetano;0.5
NorteShopping;Farmacia Couto;0.5
NorteShopping;FISHISCO Pesca;0.5
NorteShopping;Tecofix Porto;0.5
NorteShopping;Farmacia de Fanzeres;0.5
NorteShopping;Farmacia Central Valongo;0.5
Pereiro Post Office;MAR Shopping Matosinhos;0.5
Pereiro Post Office;Centro comercial parque;0.5
Pereiro Post Office;Farmacia Guifoes;0.5
Pereiro Post Office;Centro Comercial Plaza;0.5
Pereiro Post Office;NorteShopping;0.5
Pereiro Post Office;Centro Comercial New City;0.5
Pereiro Post Office;Farmacia Sousa Torres;0.5
Pereiro Post Office;Farmacia Avenida;0.5
Pereiro Post Office;Centro Comercial do Carvalhido;0.5
Pereiro Post Office;CTT;0.5
Pereiro Post Office;Posto Correios Forno;0.5
Pereiro Post Office;Centro de Distribuicao dos Correios de Ermesinde;0.5
Pereiro Post Office;ArrabidaShopping;0.5
Pereiro Post Office;Correios CTT Campo Alegre;0.5
Pereiro Post Office;Shopping Brasilia - Associacao Comerciantes;0.5
Pereiro Post Office;Farmacia sa;0.5
Pereiro Post Office;Posto de Correios de Conde Ferreira;0.5
Pereiro Post Office;Farmacia Marques da Cunha;0.5
Pereiro Post Office;Centro Comercial de Cedofeita;0.5
Pereiro Post Office;Alameda Shop Spot;0.5
Pereiro Post Office;Post Office Valongo;0.5
Pereiro Post Office;Shop;0.5
Pereiro Post Office;Farmacia Sa da Bandeira;0.5
Pereiro Post Office;Traditional Shopping Street;0.5
Pereiro Post Office;Espiral Colossal;0.5
Pereiro Post Office;Centro Comercial Stop;0.5
Pereiro Post Office;Praceta Salvador Caetano;0.5
Pereiro Post Office;Farmacia Couto;0.5
Pereiro Post Office;FISHISCO Pesca;0.5
Pereiro Post Office;Tecofix Porto;0.5
Pereiro Post Office;Farmacia de Fanzeres;0.5
Pereiro Post Office;Farmacia Central Valongo;0.5
Farmacia Sousa Torres;MAR Shopping Matosinhos;0.5
Farmacia Sousa Torres;Centro comercial parque;0.5
Farmacia Sousa Torres;Farmacia Guifoes;0.5
Farmacia Sousa Torres;Centro Comercial Plaza;0.5
Farmacia Sousa Torres;NorteShopping;0.5
Farmacia Sousa Torres;Centro Comercial New City;0.5
Farmacia Sousa Torres;Pereiro Post Office;0.5
Farmacia Sousa Torres;Farmacia Avenida;0.5
Farmacia Sousa Torres;Centro Comercial do Carvalhido;0.5
Farmacia Sousa Torres;CTT;0.5
Farmacia Sousa Torres;Posto Correios Forno;0.5
Farmacia Sousa Torres;Centro de Distribuicao dos Correios de Ermesinde;0.5
Farmacia Sousa Torres;ArrabidaShopping;0.5
Farmacia Sousa Torres;Correios CTT Campo Alegre;0.5
Farmacia Sousa Torres;Shopping Brasilia - Associacao Comerciantes;0.5
Farmacia Sousa Torres;Farmacia sa;0.5
Farmacia Sousa Torres;Posto de Correios de Conde Ferreira;0.5
Farmacia Sousa Torres;Farmacia Marques da Cunha;0.5
Farmacia Sousa Torres;Centro Comercial de Cedofeita;0.5
Farmacia Sousa Torres;Alameda Shop Spot;0.5
Farmacia Sousa Torres;Post Office Valongo;0.5
Farmacia Sousa Torres;Shop;0.5
Farmacia Sousa Torres;Farmacia Sa da Bandeira;0.5
Farmacia Sousa Torres;Traditional Shopping Street;0.5
Farmacia Sousa Torres;Espiral Colossal;0.5
Farmacia Sousa Torres;Centro Comercial Stop;0.5
Farmacia Sousa Torres;Praceta Salvador Caetano;0.5
Farmacia Sousa Torres;Farmacia Couto;0.5
Farmacia Sousa Torres;FISHISCO Pesca;0.5
Farmacia Sousa Torres;Tecofix Porto;0.5
Farmacia Sousa Torres;Farmacia de Fanzeres;0.5
Farmacia Sousa Torres;Farmacia Central Valongo;0.5
Farmacia Avenida;MAR Shopping Matosinhos;0.5
Farmacia Avenida;Centro comercial parque;0.5
Farmacia Avenida;Farmacia Guifoes;0.5
Farmacia Avenida;Centro Comercial Plaza;0.5
Farmacia Avenida;NorteShopping;0.5
Farmacia Avenida;Centro Comercial New City;0.5
Farmacia Avenida;Pereiro Post Office;0.5
Farmacia Avenida;Farmacia Sousa Torres;0.5
Farmacia Avenida;Centro Comercial do Carvalhido;0.5
Farmacia Avenida;CTT;0.5
Farmacia Avenida;Posto Correios Forno;0.5
Farmacia Avenida;Centro de Distribuicao dos Correios de Ermesinde;0.5
Farmacia Avenida;ArrabidaShopping;0.5
Farmacia Avenida;Correios CTT Campo Alegre;0.5
Farmacia Avenida;Shopping Brasilia - Associacao Comerciantes;0.5
Farmacia Avenida;Farmacia sa;0.5
Farmacia Avenida;Posto de Correios de Conde Ferreira;0.5
Farmacia Avenida;Farmacia Marques da Cunha;0.5
Farmacia Avenida;Centro Comercial de Cedofeita;0.5
Farmacia Avenida;Alameda Shop Spot;0.5
Farmacia Avenida;Post Office Valongo;0.5
Farmacia Avenida;Shop;0.5
Farmacia Avenida;Farmacia Sa da Bandeira;0.5
Farmacia Avenida;Traditional Shopping Street;0.5
Farmacia Avenida;Espiral Colossal;0.5
Farmacia Avenida;Centro Comercial Stop;0.5
Farmacia Avenida;Praceta Salvador Caetano;0.5
Farmacia Avenida;Farmacia Couto;0.5
Farmacia Avenida;FISHISCO Pesca;0.5
Farmacia Avenida;Tecofix Porto;0.5
Farmacia Avenida;Farmacia de Fanzeres;0.5
Farmacia Avenida;Farmacia Central Valongo;0.5
Centro Comercial do Carvalhido;MAR Shopping Matosinhos;0.5
Centro Comercial do Carvalhido;Centro comercial parque;0.5
Centro Comercial do Carvalhido;Farmacia Guifoes;0.5
Centro Comercial do Carvalhido;Centro Comercial Plaza;0.5
Centro Comercial do Carvalhido;NorteShopping;0.5
Centro Comercial do Carvalhido;Centro Comercial New City;0.5
Centro Comercial do Carvalhido;Pereiro Post Office;0.5
Centro Comercial do Carvalhido;Farmacia Sousa Torres;0.5
Centro Comercial do Carvalhido;Farmacia Avenida;0.5
Centro Comercial do Carvalhido;CTT;0.5
Centro Comercial do Carvalhido;Posto Correios Forno;0.5
Centro Comercial do Carvalhido;Centro de Distribuicao dos Correios de Ermesinde;0.5
Centro Comercial do Carvalhido;ArrabidaShopping;0.5
Centro Comercial do Carvalhido;Correios CTT Campo Alegre;0.5
Centro Comercial do Carvalhido;Shopping Brasilia - Associacao Comerciantes;0.5
Centro Comercial do Carvalhido;Posto de Correios de Conde Ferreira;0.5
Centro Comercial do Carvalhido;Farmacia Marques da Cunha;0.5
Centro Comercial do Carvalhido;Centro Comercial de Cedofeita;0.5
Centro Comercial do Carvalhido;Alameda Shop Spot;0.5
Centro Comercial do Carvalhido;Post Office Valongo;0.5
Centro Comercial do Carvalhido;Shop;0.5
Centro Comercial do Carvalhido;Farmacia Sa da Bandeira;0.5
Centro Comercial do Carvalhido;Traditional Shopping Street;0.5
Centro Comercial do Carvalhido;Espiral Colossal;0.5
Centro Comercial do Carvalhido;Centro Comercial Stop;0.5
Centro Comercial do Carvalhido;Praceta Salvador Caetano;0.5
Centro Comercial do Carvalhido;Farmacia Couto;0.5
Centro Comercial do Carvalhido;FISHISCO Pesca;0.5
Centro Comercial do Carvalhido;Tecofix Porto;0.5
Centro Comercial do Carvalhido;Farmacia de Fanzeres;0.5
Centro Comercial do Carvalhido;Farmacia Central Valongo;0.5
CTT;MAR Shopping Matosinhos;0.5
CTT;Centro comercial parque;0.5
CTT;Farmacia Guifoes;0.5
CTT;Centro Comercial Plaza;0.5
CTT;NorteShopping;0.5
CTT;Centro Comercial New City;0.5
CTT;Pereiro Post Office;0.5
CTT;Farmacia Sousa Torres;0.5
CTT;Farmacia Avenida;0.5
CTT;Centro Comercial do Carvalhido;0.5
CTT;Posto Correios Forno;0.5
CTT;Centro de Distribuicao dos Correios de Ermesinde;0.5
CTT;ArrabidaShopping;0.5
CTT;Correios CTT Campo Alegre;0.5
CTT;Shopping Brasilia - Associacao Comerciantes;0.5
CTT;Farmacia sa;0.5
CTT;Posto de Correios de Conde Ferreira;0.5
CTT;Farmacia Marques da Cunha;0.5
CTT;Centro Comercial de Cedofeita;0.5
CTT;Alameda Shop Spot;0.5
CTT;Post Office Valongo;0.5
CTT;Shop;0.5
CTT;Farmacia Sa da Bandeira;0.5
CTT;Traditional Shopping Street;0.5
CTT;Espiral Colossal;0.5
CTT;Centro Comercial Stop;0.5
CTT;Praceta Salvador Caetano;0.5
CTT;Farmacia Couto;0.5
CTT;FISHISCO Pesca;0.5
CTT;Tecofix Porto;0.5
CTT;Farmacia de Fanzeres;0.5
CTT;Farmacia Central Valongo;0.5
Posto Correios Forno;MAR Shopping Matosinhos;0.5
Posto Correios Forno;Centro comercial parque;0.5
Posto Correios Forno;Farmacia Guifoes;0.5
Posto Correios Forno;Centro Comercial Plaza;0.5
Posto Correios Forno;NorteShopping;0.5
Posto Correios Forno;Centro Comercial New City;0.5
Posto Correios Forno;Pereiro Post Office;0.5
Posto Correios Forno;Farmacia Sousa Torres;0.5
Posto Correios Forno;Farmacia Avenida;0.5
Posto Correios Forno;Centro Comercial do Carvalhido;0.5
Posto Correios Forno;CTT;0.5
Posto Correios Forno;Centro de Distribuicao dos Correios de Ermesinde;0.5
Posto Correios Forno;ArrabidaShopping;0.5
Posto Correios Forno;Correios CTT Campo Alegre;0.5
Posto Correios Forno;Shopping Brasilia - Associacao Comerciantes;0.5
Posto Correios Forno;Farmacia sa;0.5
Posto Correios Forno;Posto de Correios de Conde Ferreira;0.5
Posto Correios Forno;Farmacia Marques da Cunha;0.5
Posto Correios Forno;Centro Comercial de Cedofeita;0.5
Posto Correios Forno;Alameda Shop Spot;0.5
Posto Correios Forno;Post Office Valongo;0.5
Posto Correios Forno;Shop;0.5
Posto Correios Forno;Farmacia Sa da Bandeira;0.5
Posto Correios Forno;Traditional Shopping Street;0.5
Posto Correios Forno;Espiral Colossal;0.5
Posto Correios Forno;Centro Comercial Stop;0.5
Posto Correios Forno;Praceta Salvador Caetano;0.5
Posto Correios Forno;Farmacia Couto;0.5
Posto Correios Forno;FISHISCO Pesca;0.5
Posto Correios Forno;Tecofix Porto;0.5
Posto Correios Forno;Farmacia de Fanzeres;0.5
Posto Correios Forno;Farmacia Central Valongo;0.5
Centro de Distribuicao dos Correios de Ermesinde;MAR Shopping Matosinhos;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro comercial parque;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Guifoes;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro Comercial Plaza;0.5
Centro de Distribuicao dos Correios de Ermesinde;NorteShopping;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro Comercial New City;0.5
Centro de Distribuicao dos Correios de Ermesinde;Pereiro Post Office;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Sousa Torres;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Avenida;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro Comercial do Carvalhido;0.5
Centro de Distribuicao dos Correios de Ermesinde;CTT;0.5
Centro de Distribuicao dos Correios de Ermesinde;Posto Correios Forno;0.5
Centro de Distribuicao dos Correios de Ermesinde;ArrabidaShopping;0.5
Centro de Distribuicao dos Correios de Ermesinde;Correios CTT Campo Alegre;0.5
Centro de Distribuicao dos Correios de Ermesinde;Shopping Brasilia - Associacao Comerciantes;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia sa;0.5
Centro de Distribuicao dos Correios de Ermesinde;Posto de Correios de Conde Ferreira;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Marques da Cunha;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro Comercial de Cedofeita;0.5
Centro de Distribuicao dos Correios de Ermesinde;Alameda Shop Spot;0.5
Centro de Distribuicao dos Correios de Ermesinde;Post Office Valongo;0.5
Centro de Distribuicao dos Correios de Ermesinde;Shop;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Sa da Bandeira;0.5
Centro de Distribuicao dos Correios de Ermesinde;Traditional Shopping Street;0.5
Centro de Distribuicao dos Correios de Ermesinde;Espiral Colossal;0.5
Centro de Distribuicao dos Correios de Ermesinde;Centro Comercial Stop;0.5
Centro de Distribuicao dos Correios de Ermesinde;Praceta Salvador Caetano;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Couto;0.5
Centro de Distribuicao dos Correios de Ermesinde;FISHISCO Pesca;0.5
Centro de Distribuicao dos Correios de Ermesinde;Tecofix Porto;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia de Fanzeres;0.5
Centro de Distribuicao dos Correios de Ermesinde;Farmacia Central Valongo;0.5
ArrabidaShopping;MAR Shopping Matosinhos;0.5
ArrabidaShopping;Centro comercial parque;0.5
ArrabidaShopping;Farmacia Guifoes;0.5
ArrabidaShopping;Centro Comercial Plaza;0.5
ArrabidaShopping;NorteShopping;0.5
ArrabidaShopping;Centro Comercial New City;0.5
ArrabidaShopping;Pereiro Post Office;0.5
ArrabidaShopping;Farmacia Sousa Torres;0.5
ArrabidaShopping;Centro Comercial do Carvalhido;0.5
ArrabidaShopping;CTT;0.5
ArrabidaShopping;Posto Correios Forno;0.5
ArrabidaShopping;Centro de Distribuicao dos Correios de Ermesinde;0.5
ArrabidaShopping;Correios CTT Campo Alegre;0.5
ArrabidaShopping;Shopping Brasilia - Associacao Comerciantes;0.5
ArrabidaShopping;Farmacia sa;0.5
ArrabidaShopping;Posto de Correios de Conde Ferreira;0.5
ArrabidaShopping;Farmacia Marques da Cunha;0.5
ArrabidaShopping;Centro Comercial de Cedofeita;0.5
ArrabidaShopping;Alameda Shop Spot;0.5
ArrabidaShopping;Post Office Valongo;0.5
ArrabidaShopping;Shop;0.5
ArrabidaShopping;Farmacia Sa da Bandeira;0.5
ArrabidaShopping;Traditional Shopping Street;0.5
ArrabidaShopping;Espiral Colossal;0.5
ArrabidaShopping;Centro Comercial Stop;0.5
ArrabidaShopping;Praceta Salvador Caetano;0.5
ArrabidaShopping;Farmacia Couto;0.5
ArrabidaShopping;FISHISCO Pesca;0.5
ArrabidaShopping;Tecofix Porto;0.5
ArrabidaShopping;Farmacia de Fanzeres;0.5
ArrabidaShopping;Farmacia Central Valongo;0.5
Correios CTT Campo Alegre;MAR Shopping Matosinhos;0.5
Correios CTT Campo Alegre;Centro comercial parque;0.5
Correios CTT Campo Alegre;Farmacia Guifoes;0.5
Correios CTT Campo Alegre;Centro Comercial Plaza;0.5
Correios CTT Campo Alegre;NorteShopping;0.5
Correios CTT Campo Alegre;Centro Comercial New City;0.5
Correios CTT Campo Alegre;Pereiro Post Office;0.5
Correios CTT Campo Alegre;Farmacia Sousa Torres;0.5
Correios CTT Campo Alegre;Farmacia Avenida;0.5
Correios CTT Campo Alegre;Centro Comercial do Carvalhido;0.5
Correios CTT Campo Alegre;CTT;0.5
Correios CTT Campo Alegre;Posto Correios Forno;0.5
Correios CTT Campo Alegre;Centro de Distribuicao dos Correios de Ermesinde;0.5
Correios CTT Campo Alegre;ArrabidaShopping;0.5
Correios CTT Campo Alegre;Shopping Brasilia - Associacao Comerciantes;0.5
Correios CTT Campo Alegre;Farmacia sa;0.5
Correios CTT Campo Alegre;Posto de Correios de Conde Ferreira;0.5
Correios CTT Campo Alegre;Farmacia Marques da Cunha;0.5
Correios CTT Campo Alegre;Centro Comercial de Cedofeita;0.5
Correios CTT Campo Alegre;Alameda Shop Spot;0.5
Correios CTT Campo Alegre;Post Office Valongo;0.5
Correios CTT Campo Alegre;Shop;0.5
Correios CTT Campo Alegre;Farmacia Sa da Bandeira;0.5
Correios CTT Campo Alegre;Traditional Shopping Street;0.5
Correios CTT Campo Alegre;Espiral Colossal;0.5
Correios CTT Campo Alegre;Centro Comercial Stop;0.5
Correios CTT Campo Alegre;Praceta Salvador Caetano;0.5
Correios CTT Campo Alegre;Farmacia Couto;0.5
Correios CTT Campo Alegre;FISHISCO Pesca;0.5
Correios CTT Campo Alegre;Tecofix Porto;0.5
Correios CTT Campo Alegre;Farmacia de Fanzeres;0.5
Correios CTT Campo Alegre;Farmacia Central Valongo;0.5
Shopping Brasilia - Associacao Comerciantes;MAR Shopping Matosinhos;0.5
Shopping Brasilia - Associacao Comerciantes;Centro comercial parque;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Guifoes;0.5
Shopping Brasilia - Associacao Comerciantes;Centro Comercial Plaza;0.5
Shopping Brasilia - Associacao Comerciantes;NorteShopping;0.5
Shopping Brasilia - Associacao Comerciantes;Centro Comercial New City;0.5
Shopping Brasilia - Associacao Comerciantes;Pereiro Post Office;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Sousa Torres;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Avenida;0.5
Shopping Brasilia - Associacao Comerciantes;Centro Comercial do Carvalhido;0.5
Shopping Brasilia - Associacao Comerciantes;CTT;0.5
Shopping Brasilia - Associacao Comerciantes;Posto Correios Forno;0.5
Shopping Brasilia - Associacao Comerciantes;Centro de Distribuicao dos Correios de Ermesinde;0.5
Shopping Brasilia - Associacao Comerciantes;ArrabidaShopping;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia sa;0.5
Shopping Brasilia - Associacao Comerciantes;Posto de Correios de Conde Ferreira;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Marques da Cunha;0.5
Shopping Brasilia - Associacao Comerciantes;Centro Comercial de Cedofeita;0.5
Shopping Brasilia - Associacao Comerciantes;Alameda Shop Spot;0.5
Shopping Brasilia - Associacao Comerciantes;Post Office Valongo;0.5
Shopping Brasilia - Associacao Comerciantes;Shop;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Sa da Bandeira;0.5
Shopping Brasilia - Associacao Comerciantes;Traditional Shopping Street;0.5
Shopping Brasilia - Associacao Comerciantes;Espiral Colossal;0.5
Shopping Brasilia - Associacao Comerciantes;Centro Comercial Stop;0.5
Shopping Brasilia - Associacao Comerciantes;Praceta Salvador Caetano;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia Couto;0.5
Shopping Brasilia - Associacao Comerciantes;FISHISCO Pesca;0.5
Shopping Brasilia - Associacao Comerciantes;Tecofix Porto;0.5
Shopping Brasilia - Associacao Comerciantes;Farmacia de Fanzeres;0.5
